id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0078,"Childhood illnesses (Prevention, danger signs & emergency case management)",,"Indwara zikarira abana (Uko zikingirwa, Ibimenyetso mburizi vyazo, n'uko uvyifatamwo mu kumutabara(riza) vyihuta cane)","Cuduradda caruurta (Ka hortag, calaamadaha khatart leh, maareynta xaaladaha deg-dega ah)",translation,TopicChildhoodIllnesses,EducationTopic.TopicChildhoodIllnesses,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0079,Malnutrition (The prevention and fight against diseases caused by malnutrition),,Ugufungura nabi canke kurwanya indwara ziterwa n'ugufungura nabi,Nafaqo darrada (Ka hortag iyo la dagaalanka cudurada sababo nafaqo darrada),translation,TopicMalnutrition,EducationTopic.TopicMalnutrition,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0080,"Antenatal Care, Postnatal Care & Danger Signs in Pregnancy",,"Uko witwara neza wibungenze imbere yo kwibaruka n'inyuma yo kwibaruka, n'ibimenyetso mburizi ku wibungenze","Daryeelka Uurreyda, Daryeelka Umusha, Calaamadaha Khatartt ah ee Uurka",translation,TopicANCPostpartum,EducationTopic.TopicANCPostpartum,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0081,Family Planning & Sexual and reproductive health,,"Ugutandukanya imvyaro no kwumvikana ibirabana n'imibonano mpuzabitsina, n'amagara meza mu vy'ibihimba vy'irondoka",Kala korinta Carruurta & Caafimaadka Taranka,translation,TopicFamilyPlanning,EducationTopic.TopicFamilyPlanning,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0082,"Gender equality, Gender-Based Violence (GBV) & Behavior change",,"Uburinganire ku birabana n'igitsina, Amabi afatiye ku gitsina","Sinnaanta Jinsiga, Xadgudubka ku saleysan Jinsiga (GBV) & ",translation,TopicGender,EducationTopic.TopicGender,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0083,"Non-Communicable Diseases(Diabetes, Hypertension & Asthma)",,,"Cudurrada aan Faafin (Sokorow, Dhiig kar & Neef)",translation,TopicNCD,EducationTopic.TopicNCD,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0084,Family Encounter Participant,,,,fallback,,FamilyEncounterParticipant,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,record_type,N/A
EHEZA-0085,Person,,,,fallback,,FamilyEncounterParticipant.person,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,record_field,Text
EHEZA-0086,Family Participant Initiator,,,,fallback,,FamilyParticipantInitiator,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0087,Initiator Participants Page,,,,fallback,,FamilyParticipantInitiator.InitiatorParticipantsPage,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0088,Family Encounter Type,,,,fallback,,FamilyEncounterType,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0089,Nutrition Encounter,Isuzuma ry’imirire,Isuzumwa ry’ingaburo,Ogaanshaha Nafaqada,translation,NutritionEncounterLabel,FamilyEncounterType.NutritionEncounter,client/src/elm/Backend/FamilyEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0090,Family Nutrition Activity,,,,fallback,,FamilyNutritionActivity,client/src/elm/Backend/FamilyNutritionActivity/Model.elm,union_type,Coded
EHEZA-0091,Family Nutrition Aheza,,,,fallback,,FamilyNutritionActivity.FamilyNutritionAheza,client/src/elm/Backend/FamilyNutritionActivity/Model.elm,union_constructor,N/A
EHEZA-0092,Family Nutrition Muac,,,,fallback,,FamilyNutritionActivity.FamilyNutritionMuac,client/src/elm/Backend/FamilyNutritionActivity/Model.elm,union_constructor,N/A
EHEZA-0093,Family Nutrition Photo,,,,fallback,,FamilyNutritionActivity.FamilyNutritionPhoto,client/src/elm/Backend/FamilyNutritionActivity/Model.elm,union_constructor,N/A
EHEZA-0094,Family Nutrition Encounter,,,,fallback,,FamilyNutritionEncounter,client/src/elm/Backend/FamilyNutritionEncounter/Model.elm,record_type,N/A
EHEZA-0095,HIV Activity,,,,fallback,,HIVActivity,client/src/elm/Backend/HIVActivity/Model.elm,union_type,Coded
EHEZA-0096,Diagnostics,Gusuzuma uburwayi,Gusuzuma uburwayi,Baaritaano,translation,Diagnostics,HIVActivity.Diagnostics,client/src/elm/Backend/HIVActivity/Model.elm,union_constructor,N/A
EHEZA-0097,Medication,Gufata Imiti,Gufata Imiti,Dawo,translation,Medication,HIVActivity.Medication,client/src/elm/Backend/HIVActivity/Model.elm,union_constructor,N/A
EHEZA-0098,Health Center,Ikigo Nderabuzima,Ivuriro,Xarun Caafimaad,translation,HealthCenter,HealthCenter,client/src/elm/Backend/HealthCenter/Model.elm,record_type,N/A
EHEZA-0099,Catchment Area Id,,,,fallback,,HealthCenter.catchmentAreaId,client/src/elm/Backend/HealthCenter/Model.elm,record_field,Text
EHEZA-0100,Catchment Area,,,,fallback,,CatchmentArea,client/src/elm/Backend/HealthCenter/Model.elm,record_type,N/A
EHEZA-0101,Home Visit Activity,,,,fallback,,HomeVisitActivity,client/src/elm/Backend/HomeVisitActivity/Model.elm,union_type,Coded
EHEZA-0102,Feeding,Kugaburira umwana,Kugaburira umwana,Quudin,translation,Feeding,HomeVisitActivity.Feeding,client/src/elm/Backend/HomeVisitActivity/Model.elm,union_constructor,N/A
EHEZA-0103,Caring,Kwita ku mwana,Ukwita ku mwana,Daryeelaya,translation,Caring,HomeVisitActivity.Caring,client/src/elm/Backend/HomeVisitActivity/Model.elm,union_constructor,N/A
EHEZA-0104,Hygiene,Isuku,Isuku,Nadaafad,translation,Hygiene,HomeVisitActivity.Hygiene,client/src/elm/Backend/HomeVisitActivity/Model.elm,union_constructor,N/A
EHEZA-0105,Food Security,Kwihaza ku biribwa,Umutekano mu mfunguro,Sugnaanta Cunnada,translation,FoodSecurity,HomeVisitActivity.FoodSecurity,client/src/elm/Backend/HomeVisitActivity/Model.elm,union_constructor,N/A
EHEZA-0106,Individual Encounter Participant,,,,fallback,,IndividualEncounterParticipant,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_type,N/A
EHEZA-0107,Edd Date,,,,fallback,,IndividualEncounterParticipant.eddDate,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Date
EHEZA-0108,Date Concluded,,,,fallback,,IndividualEncounterParticipant.dateConcluded,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Date
