Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
87.4	8.957	9.718	10.479	11.324	12.263	13.310	14.482	15.798	17.114
87.5	8.975	9.738	10.501	11.347	12.287	13.336	14.510	15.828	17.146
87.6	8.994	9.758	10.522	11.369	12.312	13.362	14.538	15.859	17.179
87.7	9.013	9.778	10.544	11.392	12.336	13.389	14.566	15.889	17.211
87.8	9.031	9.798	10.565	11.415	12.360	13.415	14.594	15.919	17.243
87.9	9.050	9.818	10.586	11.438	12.385	13.441	14.622	15.949	17.276
88.0	9.069	9.838	10.607	11.460	12.409	13.467	14.650	15.979	17.307
88.1	9.087	9.858	10.629	11.483	12.433	13.493	14.678	16.009	17.340
88.2	9.105	9.877	10.650	11.506	12.457	13.519	14.706	16.039	17.372
88.3	9.124	9.897	10.671	11.528	12.482	13.545	14.734	16.069	17.404
88.4	9.142	9.917	10.692	11.551	12.506	13.571	14.762	16.099	17.436
88.5	9.160	9.937	10.713	11.573	12.530	13.597	14.790	16.129	17.469
88.6	9.179	9.956	10.734	11.596	12.554	13.622	14.818	16.159	17.501
88.7	9.197	9.976	10.755	11.618	12.578	13.648	14.845	16.189	17.533
88.8	9.215	9.995	10.775	11.640	12.602	13.674	14.873	16.219	17.564
88.9	9.233	10.015	10.796	11.663	12.626	13.700	14.901	16.249	17.597
89.0	9.251	10.034	10.817	11.685	12.650	13.725	14.928	16.278	17.629
89.1	9.269	10.053	10.838	11.707	12.673	13.751	14.956	16.309	17.661
89.2	9.287	10.073	10.858	11.729	12.697	13.776	14.984	16.338	17.693
89.3	9.305	10.092	10.879	11.751	12.721	13.802	15.011	16.368	17.725
89.4	9.323	10.111	10.899	11.773	12.745	13.827	15.039	16.398	17.757
89.5	9.340	10.130	10.920	11.795	12.768	13.853	15.066	16.428	17.789
89.6	9.358	10.149	10.940	11.817	12.792	13.879	15.094	16.458	17.821
89.7	9.376	10.169	10.961	11.839	12.816	13.904	15.121	16.487	17.853
89.8	9.394	10.188	10.981	11.861	12.839	13.929	15.149	16.517	17.885
89.9	9.411	10.207	11.002	11.883	12.863	13.955	15.176	16.546	17.917
90.0	9.429	10.226	11.022	11.905	12.886	13.980	15.204	16.576	17.949
90.1	9.446	10.244	11.043	11.927	12.910	14.006	15.231	16.606	17.981
90.2	9.464	10.263	11.063	11.949	12.933	14.031	15.258	16.636	18.013
90.3	9.481	10.282	11.083	11.970	12.957	14.057	15.286	16.666	18.046
90.4	9.499	10.301	11.103	11.992	12.980	14.082	15.314	16.696	18.078
90.5	9.516	10.320	11.123	12.014	13.004	14.107	15.341	16.725	18.109
90.6	9.534	10.339	11.144	12.036	13.027	14.132	15.368	16.755	18.141
90.7	9.551	10.357	11.164	12.057	13.051	14.158	15.396	16.785	18.174
90.8	9.569	10.376	11.184	12.079	13.074	14.183	15.423	16.815	18.206
90.9	9.586	10.395	11.204	12.101	13.098	14.209	15.451	16.845	18.238
91.0	9.603	10.414	11.224	12.123	13.121	14.234	15.478	16.874	18.270
91.1	9.620	10.432	11.244	12.144	13.144	14.259	15.506	16.904	18.303
91.2	9.637	10.451	11.264	12.166	13.168	14.284	15.533	16.934	18.335
91.3	9.654	10.469	11.284	12.187	13.191	14.310	15.561	16.964	18.368
91.4	9.671	10.488	11.304	12.209	13.214	14.335	15.588	16.994	18.400
91.5	9.689	10.507	11.324	12.231	13.238	14.360	15.615	17.024	18.432
91.6	9.706	10.525	11.344	12.252	13.261	14.385	15.643	17.054	18.464
91.7	9.723	10.544	11.364	12.274	13.284	14.411	15.670	17.083	18.497
91.8	9.740	10.562	11.384	12.295	13.308	14.436	15.698	17.114	18.530
91.9	9.757	10.580	11.404	12.317	13.331	14.461	15.726	17.144	18.562
92.0	9.774	10.599	11.424	12.338	13.354	14.487	15.753	17.174	18.595
92.1	9.791	10.617	11.444	12.359	13.377	14.512	15.780	17.204	18.627
92.2	9.807	10.635	11.463	12.381	13.401	14.537	15.808	17.234	18.660
92.3	9.824	10.654	11.483	12.402	13.424	14.563	15.836	17.264	18.693
92.4	9.841	10.672	11.503	12.424	13.447	14.588	15.864	17.295	18.726
92.5	9.858	10.691	11.523	12.445	13.470	14.613	15.891	17.325	18.758
92.6	9.875	10.709	11.543	12.467	13.494	14.639	15.919	17.355	18.792
92.7	9.892	10.727	11.563	12.488	13.517	14.664	15.946	17.385	18.824
92.8	9.909	10.745	11.582	12.510	13.540	14.689	15.974	17.416	18.857
92.9	9.925	10.764	11.602	12.531	13.564	14.715	16.002	17.446	18.891
93.0	9.942	10.782	11.622	12.552	13.587	14.740	16.030	17.477	18.924
93.1	9.959	10.800	11.641	12.574	13.610	14.766	16.058	17.508	18.957
93.2	9.975	10.818	11.661	12.595	13.634	14.791	16.086	17.538	18.991
93.3	9.992	10.837	11.681	12.617	13.657	14.817	16.114	17.569	19.024
93.4	10.009	10.855	11.701	12.638	13.681	14.842	16.142	17.600	19.058
93.5	10.026	10.873	11.721	12.660	13.704	14.868	16.170	17.630	19.091
93.6	10.042	10.891	11.741	12.682	13.728	14.894	16.198	17.661	19.125
93.7	10.059	10.910	11.760	12.703	13.751	14.919	16.226	17.692	19.158
93.8	10.076	10.928	11.780	12.725	13.775	14.945	16.254	17.723	19.193
93.9	10.093	10.946	11.800	12.746	13.798	14.971	16.282	17.754	19.226
94.0	10.109	10.964	11.820	12.768	13.822	14.997	16.311	17.786	19.261
94.1	10.126	10.983	11.840	12.790	13.845	15.023	16.339	17.817	19.295
94.2	10.143	11.001	11.860	12.811	13.869	15.049	16.368	17.849	19.329
94.3	10.160	11.020	11.880	12.833	13.893	15.074	16.396	17.880	19.363
94.4	10.176	11.038	11.899	12.855	13.916	15.100	16.425	17.911	19.398
94.5	10.193	11.056	11.919	12.876	13.940	15.127	16.454	17.943	19.433
94.6	10.210	11.075	11.940	12.898	13.964	15.153	16.482	17.974	19.467
94.7	10.227	11.093	11.960	12.920	13.988	15.179	16.511	18.006	19.502
94.8	10.243	11.111	11.980	12.942	14.012	15.205	16.540	18.038	19.537
94.9	10.260	11.130	12.000	12.964	14.036	15.232	16.569	18.070	19.572
95.0	10.277	11.148	12.020	12.986	14.060	15.258	16.598	18.103	19.607
95.1	10.294	11.167	12.040	13.008	14.084	15.284	16.627	18.135	19.642
95.2	10.310	11.185	12.060	13.030	14.108	15.311	16.657	18.167	19.678
95.3	10.327	11.204	12.080	13.052	14.132	15.338	16.686	18.200	19.714
95.4	10.344	11.222	12.100	13.074	14.157	15.364	16.715	18.232	19.749
95.5	10.361	11.241	12.121	13.096	14.181	15.391	16.745	18.265	19.785
95.6	10.378	11.260	12.141	13.119	14.206	15.418	16.775	18.298	19.821
95.7	10.395	11.278	12.161	13.141	14.230	15.445	16.804	18.331	19.857
95.8	10.412	11.297	12.182	13.163	14.254	15.472	16.834	18.364	19.893
95.9	10.429	11.315	12.202	13.185	14.279	15.499	16.864	18.397	19.930
96.0	10.446	11.334	12.223	13.208	14.304	15.526	16.894	18.430	19.966
96.1	10.463	11.353	12.243	13.230	14.328	15.553	16.924	18.464	20.003
96.2	10.480	11.372	12.264	13.253	14.353	15.581	16.955	18.498	20.041
96.3	10.497	11.390	12.284	13.276	14.378	15.608	16.985	18.532	20.078
96.4	10.514	11.410	12.305	13.298	14.403	15.636	17.015	18.565	20.115
96.5	10.531	11.428	12.326	13.321	14.428	15.663	17.046	18.599	20.152
96.6	10.548	11.447	12.347	13.344	14.453	15.691	17.077	18.633	20.190
96.7	10.565	11.466	12.367	13.367	14.478	15.719	17.108	18.668	20.228
96.8	10.583	11.485	12.388	13.390	14.504	15.747	17.139	18.702	20.265
96.9	10.600	11.505	12.409	13.413	14.529	15.775	17.170	18.737	20.304
97.0	10.617	11.524	12.430	13.436	14.555	15.803	17.201	18.771	20.342
97.1	10.634	11.543	12.451	13.459	14.580	15.832	17.233	18.807	20.381
97.2	10.652	11.562	12.472	13.482	14.606	15.860	17.264	18.842	20.419
97.3	10.669	11.582	12.494	13.506	14.632	15.888	17.296	18.877	20.458
97.4	10.687	11.601	12.515	13.529	14.657	15.917	17.327	18.912	20.497
97.5	10.704	11.620	12.536	13.552	14.683	15.946	17.359	18.948	20.536
97.6	10.722	11.640	12.558	13.576	14.709	15.974	17.391	18.983	20.575
97.7	10.739	11.659	12.579	13.599	14.735	16.003	17.423	19.019	20.615
97.8	10.757	11.679	12.600	13.623	14.761	16.032	17.455	19.055	20.654
97.9	10.775	11.698	12.622	13.647	14.788	16.061	17.488	19.091	20.695
98.0	10.793	11.718	12.644	13.671	14.814	16.090	17.520	19.127	20.734
98.1	10.810	11.738	12.665	13.695	14.840	16.120	17.553	19.164	20.775
98.2	10.828	11.757	12.687	13.719	14.867	16.149	17.586	19.201	20.815
98.3	10.846	11.777	12.709	13.743	14.893	16.178	17.618	19.237	20.855
98.4	10.864	11.797	12.731	13.767	14.920	16.208	17.651	19.274	20.896
98.5	10.882	11.817	12.752	13.791	14.947	16.238	17.684	19.311	20.937
98.6	10.899	11.837	12.774	13.815	14.974	16.268	17.718	19.348	20.978
98.7	10.917	11.857	12.796	13.839	15.000	16.298	17.751	19.385	21.019
98.8	10.935	11.877	12.818	13.864	15.028	16.328	17.784	19.423	21.061
98.9	10.953	11.897	12.840	13.888	15.055	16.358	17.818	19.460	21.102
99.0	10.972	11.917	12.863	13.913	15.082	16.388	17.852	19.498	21.144
99.1	10.990	11.937	12.885	13.937	15.109	16.418	17.885	19.536	21.186
99.2	11.007	11.957	12.907	13.962	15.136	16.449	17.920	19.574	21.229
99.3	11.026	11.978	12.929	13.986	15.164	16.479	17.954	19.612	21.271
