Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
68.6	5.889	6.398	6.908	7.474	8.104	8.809	9.599	10.488	11.378
68.7	5.905	6.416	6.927	7.495	8.127	8.834	9.626	10.518	11.410
68.8	5.922	6.434	6.946	7.516	8.150	8.859	9.654	10.548	11.442
68.9	5.938	6.452	6.966	7.537	8.173	8.884	9.681	10.578	11.474
69.0	5.954	6.470	6.985	7.558	8.196	8.908	9.708	10.607	11.507
69.1	5.971	6.488	7.004	7.579	8.218	8.933	9.735	10.637	11.539
69.2	5.987	6.505	7.024	7.599	8.241	8.958	9.762	10.667	11.571
69.3	6.003	6.523	7.043	7.620	8.264	8.983	9.789	10.697	11.604
69.4	6.020	6.541	7.062	7.641	8.286	9.008	9.816	10.726	11.636
69.5	6.036	6.559	7.081	7.662	8.309	9.032	9.843	10.756	11.669
69.6	6.052	6.576	7.101	7.683	8.332	9.057	9.871	10.786	11.701
69.7	6.068	6.594	7.120	7.704	8.355	9.082	9.898	10.816	11.734
69.8	6.085	6.612	7.139	7.725	8.377	9.107	9.925	10.845	11.766
69.9	6.101	6.630	7.158	7.746	8.400	9.132	9.952	10.875	11.798
70.0	6.117	6.647	7.177	7.766	8.423	9.156	9.979	10.905	11.831
70.1	6.133	6.665	7.197	7.787	8.445	9.181	10.006	10.934	11.863
70.2	6.150	6.683	7.216	7.808	8.468	9.206	10.033	10.964	11.895
70.3	6.166	6.700	7.235	7.829	8.491	9.230	10.060	10.994	11.927
70.4	6.182	6.718	7.254	7.850	8.513	9.255	10.087	11.023	11.960
70.5	6.198	6.735	7.273	7.870	8.536	9.280	10.114	11.053	11.992
70.6	6.214	6.753	7.292	7.891	8.558	9.304	10.141	11.083	12.025
70.7	6.230	6.771	7.311	7.912	8.581	9.329	10.168	11.112	12.057
70.8	6.246	6.788	7.330	7.932	8.603	9.353	10.195	11.142	12.089
70.9	6.262	6.805	7.349	7.953	8.626	9.378	10.222	11.172	12.121
71.0	6.278	6.823	7.368	7.973	8.648	9.402	10.248	11.201	12.153
71.1	6.294	6.840	7.387	7.994	8.670	9.427	10.275	11.230	12.185
71.2	6.310	6.858	7.406	8.014	8.693	9.451	10.302	11.259	12.217
71.3	6.326	6.875	7.424	8.035	8.715	9.476	10.329	11.289	12.249
71.4	6.341	6.892	7.443	8.055	8.737	9.500	10.355	11.318	12.281
71.5	6.357	6.909	7.462	8.075	8.759	9.524	10.382	11.348	12.313
71.6	6.373	6.927	7.480	8.096	8.782	9.548	10.408	11.377	12.345
71.7	6.389	6.944	7.499	8.116	8.804	9.572	10.435	11.406	12.377
71.8	6.404	6.961	7.518	8.136	8.826	9.597	10.461	11.435	12.409
71.9	6.420	6.978	7.536	8.156	8.848	9.621	10.488	11.464	12.440
72.0	6.436	6.995	7.555	8.177	8.870	9.645	10.514	11.493	12.472
72.1	6.451	7.012	7.573	8.197	8.892	9.669	10.540	11.522	12.504
72.2	6.467	7.029	7.592	8.217	8.914	9.693	10.567	11.551	12.535
72.3	6.482	7.046	7.610	8.237	8.935	9.716	10.593	11.580	12.567
72.4	6.498	7.063	7.628	8.257	8.957	9.740	10.619	11.608	12.598
72.5	6.513	7.080	7.647	8.277	8.979	9.764	10.645	11.637	12.629
72.6	6.528	7.097	7.665	8.296	9.000	9.788	10.671	11.666	12.660
72.7	6.544	7.113	7.683	8.316	9.022	9.811	10.697	11.694	12.691
72.8	6.559	7.130	7.701	8.336	9.044	9.835	10.723	11.723	12.723
72.9	6.574	7.147	7.719	8.356	9.065	9.858	10.749	11.751	12.754
73.0	6.589	7.163	7.737	8.375	9.086	9.882	10.774	11.780	12.785
73.1	6.604	7.180	7.755	8.395	9.108	9.905	10.800	11.808	12.815
73.2	6.619	7.196	7.773	8.414	9.129	9.929	10.826	11.836	12.846
73.3	6.635	7.213	7.791	8.434	9.150	9.952	10.851	11.864	12.877
73.4	6.650	7.229	7.809	8.453	9.172	9.975	10.877	11.892	12.907
73.5	6.664	7.246	7.827	8.473	9.193	9.998	10.902	11.920	12.938
73.6	6.679	7.262	7.844	8.492	9.214	10.021	10.927	11.948	12.968
73.7	6.694	7.278	7.862	8.511	9.235	10.044	10.952	11.975	12.998
73.8	6.709	7.294	7.880	8.530	9.256	10.067	10.978	12.003	13.029
73.9	6.724	7.311	7.897	8.549	9.277	10.090	11.003	12.031	13.059
74.0	6.739	7.327	7.915	8.568	9.297	10.113	11.028	12.059	13.089
74.1	6.753	7.343	7.932	8.588	9.318	10.135	11.053	12.086	13.119
74.2	6.768	7.359	7.950	8.607	9.339	10.158	11.078	12.113	13.149
74.3	6.783	7.375	7.967	8.626	9.360	10.181	11.103	12.141	13.179
74.4	6.797	7.391	7.985	8.644	9.380	10.203	11.127	12.168	13.209
74.5	6.812	7.407	8.002	8.663	9.401	10.226	11.152	12.195	13.239
74.6	6.827	7.423	8.019	8.682	9.422	10.248	11.177	12.222	13.268
74.7	6.841	7.439	8.036	8.701	9.442	10.271	11.201	12.250	13.298
74.8	6.856	7.455	8.054	8.720	9.462	10.293	11.226	12.277	13.327
74.9	6.870	7.471	8.071	8.738	9.483	10.316	11.250	12.304	13.357
75.0	6.885	7.486	8.088	8.757	9.503	10.338	11.275	12.330	13.386
75.1	6.899	7.502	8.105	8.776	9.524	10.360	11.299	12.357	13.416
75.2	6.913	7.518	8.122	8.794	9.544	10.382	11.324	12.384	13.445
75.3	6.928	7.533	8.139	8.813	9.564	10.404	11.348	12.411	13.474
75.4	6.942	7.549	8.156	8.831	9.584	10.426	11.372	12.437	13.503
75.5	6.956	7.565	8.173	8.850	9.604	10.448	11.396	12.464	13.531
75.6	6.970	7.580	8.190	8.868	9.624	10.470	11.420	12.490	13.560
75.7	6.985	7.596	8.207	8.886	9.644	10.492	11.444	12.516	13.589
75.8	6.998	7.611	8.223	8.904	9.664	10.514	11.468	12.543	13.618
75.9	7.012	7.626	8.240	8.922	9.684	10.535	11.492	12.569	13.646
76.0	7.026	7.641	8.257	8.940	9.703	10.557	11.515	12.595	13.675
76.1	7.041	7.657	8.273	8.959	9.723	10.578	11.539	12.621	13.702
76.2	7.055	7.672	8.290	8.976	9.742	10.600	11.562	12.646	13.731
76.3	7.068	7.687	8.306	8.994	9.762	10.621	11.585	12.672	13.759
76.4	7.082	7.702	8.323	9.012	9.781	10.642	11.609	12.698	13.787
76.5	7.096	7.717	8.339	9.030	9.801	10.663	11.632	12.723	13.814
76.6	7.110	7.732	8.355	9.048	9.820	10.684	11.655	12.749	13.842
76.7	7.123	7.747	8.371	9.065	9.839	10.705	11.678	12.773	13.869
76.8	7.137	7.762	8.387	9.083	9.858	10.726	11.701	12.799	13.897
76.9	7.151	7.777	8.403	9.100	9.877	10.747	11.723	12.824	13.924
77.0	7.164	7.792	8.420	9.118	9.896	10.768	11.746	12.848	13.951
77.1	7.178	7.807	8.436	9.135	9.915	10.788	11.769	12.873	13.978
77.2	7.191	7.821	8.452	9.152	9.934	10.809	11.791	12.898	14.005
77.3	7.205	7.836	8.467	9.170	9.953	10.829	11.813	12.923	14.032
77.4	7.218	7.851	8.483	9.187	9.972	10.850	11.836	12.947	14.058
77.5	7.231	7.865	8.499	9.204	9.990	10.870	11.858	12.972	14.085
77.6	7.245	7.880	8.515	9.221	10.009	10.890	11.880	12.996	14.111
77.7	7.258	7.895	8.531	9.238	10.027	10.911	11.902	13.020	14.137
77.8	7.271	7.909	8.546	9.255	10.046	10.931	11.925	13.044	14.164
77.9	7.285	7.923	8.562	9.272	10.064	10.951	11.946	13.068	14.190
78.0	7.298	7.938	8.578	9.289	10.083	10.971	11.968	13.092	14.216
78.1	7.311	7.952	8.593	9.306	10.101	10.991	11.990	13.116	14.242
78.2	7.325	7.967	8.609	9.323	10.119	11.011	12.012	13.140	14.268
78.3	7.338	7.981	8.624	9.340	10.138	11.031	12.033	13.164	14.294
78.4	7.351	7.995	8.640	9.356	10.156	11.051	12.055	13.187	14.319
78.5	7.364	8.010	8.655	9.373	10.174	11.070	12.077	13.211	14.345
78.6	7.378	8.024	8.671	9.390	10.192	11.090	12.098	13.234	14.370
78.7	7.391	8.039	8.686	9.407	10.210	11.110	12.120	13.258	14.396
78.8	7.404	8.053	8.702	9.424	10.229	11.130	12.141	13.281	14.421
78.9	7.417	8.067	8.718	9.440	10.247	11.149	12.162	13.304	14.446
79.0	7.431	8.082	8.733	9.457	10.265	11.169	12.184	13.328	14.472
79.1	7.444	8.096	8.749	9.474	10.283	11.189	12.205	13.351	14.497
79.2	7.457	8.111	8.764	9.491	10.301	11.208	12.227	13.375	14.522
79.3	7.471	8.125	8.780	9.507	10.319	11.228	12.248	13.398	14.547
